Grapg ID|Number of Monitors|len(org_links)|len(g_links)|len(is_links))|len(d_links))|len(r_links))|len(r30_links)|size|
100_1540810032|17|334|82.0359|95.2096|75.4491|79.0419|78.4431|100|1
100_1540810033|18|326|73.0061|87.1166|61.9632|56.4417|74.2331|100|2
100_1540810034|16|334|69.4611|85.0299|64.6707|66.4671|81.4371|100|3
100_1540810035|17|340|79.4118|93.5294|74.7059|82.3529|81.7647|100|4
100_1540810036|15|324|83.3333|91.358|76.5432|72.8395|79.6296|100|5
100_1540810038|15|330|79.3939|88.4848|67.2727|70.9091|81.8182|100|6
100_1540810039|15|332|77.7108|84.9398|63.253|65.0602|78.9157|100|7
100_1540810040|17|330|78.1818|92.1212|72.7273|75.7576|83.0303|100|8
100_1540810041|12|336|77.381|85.7143|69.0476|69.6429|76.7857|100|9
100_1540810042|14|344|69.7674|83.1395|62.2093|58.1395|76.1628|100|10
200_1540809192|15|532|75.5639|81.9549|72.5564|75.188|81.9549|200|1
200_1540809193|17|552|74.2754|82.971|71.0145|74.6377|82.2464|200|2
200_1540809194|15|552|75.7246|84.7826|70.2899|74.2754|81.8841|200|3
200_1540809195|16|522|74.7126|81.2261|72.4138|75.0958|85.0575|200|4
200_1540809196|16|536|72.7612|82.0896|68.6567|70.1493|83.209|200|5
200_1540809197|15|544|73.5294|80.8824|69.1176|70.2206|85.6618|200|6
200_1540809199|17|540|77.7778|85.9259|74.8148|74.8148|84.8148|200|7
200_1540809200|17|550|78.1818|85.4545|74.5455|76.7273|82.9091|200|8
200_1540809201|15|546|79.4872|84.9817|76.5568|76.9231|84.2491|200|9
200_1540809202|14|538|76.2082|82.8996|73.6059|74.7212|85.1301|200|10
250_1540816055|23|632|77.5316|85.443|76.5823|77.5316|82.9114|250|1
250_1540816054|21|642|74.1433|80.0623|71.9626|73.2087|84.4237|250|2
250_1540816060|21|652|76.6871|83.1288|74.8466|76.9939|84.3558|250|3
250_1540816058|23|652|75.7669|83.4356|74.8466|74.8466|83.4356|250|4
250_1540816056|22|630|75.2381|83.8095|74.2857|75.873|85.7143|250|5
250_1540816062|21|634|73.817|80.7571|69.0852|73.817|78.8644|250|6
250_1540816053|21|646|80.1858|86.9969|76.7802|78.9474|84.5201|250|7
250_1540816061|24|638|75.5486|81.1912|74.2947|73.6677|81.8182|250|8
250_1540816059|22|644|74.5342|81.9876|71.4286|73.2919|84.1615|250|9
250_1540816052|23|642|75.7009|82.243|74.7664|75.3894|83.1776|250|10
300_1540809505|18|746|74.2627|79.8928|73.4584|73.4584|80.429|300|1
300_1540809506|15|746|72.6542|76.1394|71.3137|69.437|82.3056|300|2
300_1540809507|15|750|73.0667|77.8667|70.9333|72.8|81.8667|300|3
300_1540809508|14|744|73.1183|77.6882|71.7742|71.7742|81.1828|300|4
300_1540809510|16|750|74.4|79.2|73.0667|70.9333|82.9333|300|5
300_1540809511|18|738|74.7967|79.9458|71.8157|73.9837|81.8428|300|6
300_1540809512|17|730|74.5205|79.1781|74.5205|75.3425|81.3699|300|7
300_1540809513|16|748|75.9358|80.7487|74.3316|76.2032|82.6203|300|8
300_1540809514|16|740|69.7297|75.6757|67.027|67.2973|79.4595|300|9
300_1540809516|16|744|72.8495|78.2258|71.7742|70.1613|80.6452|300|10
400_1540810129|19|958|71.3987|75.1566|69.7286|70.3549|80.7933|400|1
400_1540810131|19|972|73.0453|77.3663|69.7531|72.428|82.0988|400|2
400_1540810133|18|970|72.5773|78.1443|71.7526|71.7526|83.0928|400|3
400_1540810139|20|958|69.7286|75.3653|68.6848|69.3111|80.7933|400|4
400_1540810140|19|964|69.5021|74.8963|68.6722|69.7095|80.2905|400|5
400_1540810130|18|938|73.1343|77.1855|71.4286|72.2814|82.7292|400|6
400_1540810135|19|966|72.0497|76.6046|69.7723|69.9793|81.3665|400|7
400_1540810136|19|960|73.125|77.7083|71.6667|72.9167|81.875|400|8
400_1540810134|20|956|70.7113|76.1506|69.6653|69.6653|81.3808|400|9
400_1540810138|18|968|72.7273|77.4793|70.0413|70.4545|81.1983|400|10
500_1540810146|25|1182|69.7124|75.6345|68.8663|69.3739|80.3723|500|1
500_1540810149|24|1208|72.0199|76.6556|70.0331|71.3576|81.6225|500|2
500_1540810150|22|1204|73.588|77.5748|71.2625|71.5947|81.5615|500|3
500_1540810151|24|1186|71.8381|76.5599|70.489|70.6577|79.7639|500|4
500_1540810154|22|1180|68.9831|73.0508|67.2881|67.4576|81.0169|500|5
500_1540810155|22|1202|69.0516|74.0433|67.3877|68.0532|81.6972|500|6
500_1540810157|23|1182|71.5736|76.4805|69.3739|70.0508|82.2335|500|7
500_1540810145|27|1184|70.9459|75.3378|70.1014|71.1149|80.9122|500|8
500_1540810153|23|1192|69.2953|73.9933|67.953|68.9597|79.8658|500|9
500_1540810147|20|1186|71.1636|75.7167|69.3086|68.8027|81.6189|500|10
600_1540810165|26|1424|71.7697|75.9831|68.8202|69.8034|80.7584|600|1
600_1540810175|29|1386|70.5628|75.469|69.2641|69.1198|80.3752|600|2
600_1540810168|30|1408|71.4489|75.8523|68.75|69.8864|80.2557|600|3
600_1540810170|27|1434|73.3612|77.5453|70.7113|71.4086|80.3347|600|4
600_1540810171|24|1438|70.5146|74.6871|68.5675|68.1502|81.363|600|5
