date|p2c|p2p|nodes|edges
20180701|122723|330073|61817|905592
20180301|121096|309824|60578|861840
20160901|109113|356632|55357|931490
20160201|105056|375849|53204|961810
20160301|105567|387362|53547|985858
20180401|122026|312125|60888|868302
20160401|103646|364413|53802|936118
20170101|111217|359258|56358|940950
20180101|117703|281865|60019|799136
20170401|114504|377301|57272|983610
20161101|110479|359253|55822|939464
20180501|122767|323674|61307|892882
20180901|124175|324806|62462|897962
20170701|114026|263796|58206|755644
20180201|118001|284593|60277|805188
20170601|113828|271960|57891|771576
20161201|111460|357167|56169|937254
20170301|113540|375669|57027|978418
20161001|110031|354444|55583|928950
20181001|123606|568054|62773|1383320
20180801|123645|329266|62137|905822
20171201|117231|275398|59767|785258
20170201|112907|359172|56680|944158
20160601|107191|380949|54466|976280
20160701|107991|317330|54744|850642
20170501|114018|236626|57566|701288
20160501|107195|358995|54140|932380
20151201|103379|357958|52689|922674
20160101|103848|378809|52847|965314
20171001|117452|270283|59140|775470
20180601|122670|317311|61549|879962
20170901|115610|268733|58813|768686
20171101|117967|274406|59455|784746
20160801|108882|354494|55076|926752
20170801|115067|145699|58526|521532
